index, v, h, c, numDocs 
R5, 0.5197735758963403, 0.4847187225502239, 0.5602940351195432, 500
R5, 0.593375425017198, 0.5759456135187615, 0.6118931138067409, 500
R5, 0.49301480387542584, 0.4579452870839427, 0.5339010219034804, 500
R5, 0.649937402957339, 0.6158376626152887, 0.6880347932612535, 500
R5, 0.5617427034229154, 0.5331650859866184, 0.5935573422647648, 500
R5, 0.49478528258592697, 0.4738848414422916, 0.517614392530124, 500
R5, 0.5701739297096807, 0.5468706129572679, 0.5955516486472553, 500
NG5, 0.6707511226626515, 0.6524783270718626, 0.6900768736192598, 2000
NG5, 0.6765538715502339, 0.633898939136682, 0.7253634312869061, 2000
NG5, 0.7199482374086588, 0.7076957580606756, 0.7326324507449282, 2000
NG5, 0.6232129970182988, 0.6021319862981023, 0.6458236808021816, 2000
NG5, 0.7506408134495117, 0.7435880067138676, 0.7578286906688254, 2000
NG5, 0.6975236373744714, 0.6828099088704385, 0.7128854576139538, 2000
NG5, 0.632892664620351, 0.6152366648235099, 0.651591985752939, 2000
NG5, 0.6892876779532812, 0.6730454862387075, 0.7063331810820709, 2000
NG5, 0.695467211476999, 0.6830435939590499, 0.7083511381943589, 2000
NG5, 0.6756871904026065, 0.6587505600218962, 0.6935176918428405, 2000
NG5, 0.6150062877705953, 0.5926301079646967, 0.6391385043102433, 2000
R6, 0.5835338259985424, 0.5330147219754559, 0.6446320100229209, 1197
R6, 0.4706665216495565, 0.42391263247125255, 0.529011955195688, 1197
R6, 0.5181316476012016, 0.4672284315327041, 0.5814825238635548, 1197
R6, 0.5763795158566927, 0.5255020176046644, 0.6381646673075725, 1197
R6, 0.4703795443241088, 0.41354455347697305, 0.5453257187390708, 1197
R6, 0.4726252760960726, 0.43370022524152785, 0.5192263900991254, 1197
R6, 0.4887727426967071, 0.44996352181941196, 0.5349084374630092, 1197
R6, 0.6125225870314759, 0.5592981619876488, 0.6769423743889196, 1197
R6, 0.5726710896203002, 0.5426428587305898, 0.6062173420466321, 1197
R6, 0.624347325085235, 0.6005198960094729, 0.6501437286453673, 1197
R6, 0.6556345520977201, 0.6382719025993522, 0.6739682343068994, 1197
NG6, 0.5776706948144211, 0.5062944389373969, 0.6724746669905142, 2400
NG6, 0.7181687409506746, 0.701896280104698, 0.7352136165656425, 2400
NG6, 0.6635847137514773, 0.6257478559680365, 0.7062917910455075, 2400
NG6, 0.7122486645750161, 0.696645176042709, 0.7285671426853263, 2400
NG6, 0.644554605991231, 0.5948306843617718, 0.7033500290264681, 2400
NG6, 0.7443915187029158, 0.7299878359248425, 0.7593750524367686, 2400
NG6, 0.7430490366807152, 0.7288291755554317, 0.7578348138844466, 2400
NG6, 0.6754933455412381, 0.6487197527988982, 0.7045720422117621, 2400
NG6, 0.6875374298936422, 0.6662894371880383, 0.7101852619363284, 2400
NG6, 0.6919031987657688, 0.6692302605890105, 0.7161662886823579, 2400
NG6, 0.7524964137854319, 0.7450789531527092, 0.7600630450683672, 2400
